date,wifi status,tablet status,phone status,temp,heating degree,cooling degree,precipitation,snowfall,snow/ice depth,census
07/04/2017,up,up,up,2,29,0,0,0,0,3318
08/04/2017,up,up,up,2,29,0,0,0,0,3537
09/04/2017,up,up,up,2,29,0,0,0,0,3427
10/04/2017,up,up,up,18,1.5,0,0,0,0,950
11/04/2017,up,up,up,2,29,0,0,0,0,3700
12/04/2017,up,up,up,19,0,2,0.02,0,0,1340
13/04/2017,up,up,up,14,8.5,0,0,0,0,1037
14/04/2017,up,up,up,14,8,0,0,0,0,864
15/04/2017,up,up,up,2,29,0,0,0,0,3723
16/04/2017,up,up,up,2,29,0,0,0,0,3696
17/04/2017,up,up,up,19,0,1,1.00E-04,0,0,3882
18/04/2017,up,up,up,14,8,0,0,0,0,4902
19/04/2017,up,up,up,2,29,0,0,0,0,3508
20/04/2017,up,up,up,14,7,0,0.39,0,0,961
21/04/2017,up,up,up,10,14.5,0,0.07,0,0,1174
22/04/2017,up,up,up,2,29,0,0,0,0,3296
23/04/2017,up,up,up,2,29,0,0,0,0,3628
24/04/2017,up,up,up,2,29,0,0,0,0,3798
